app_id,categories
453130,Steam Trading Cards
453130,Remote Play Together
1297480,Multi-player
1297480,PvP
1297480,Shared/Split Screen PvP
1297480,Shared/Split Screen
1297480,Full controller support
1297480,Remote Play Together
1217830,Single-player
1217830,Steam Achievements
1217830,Full controller support
628830,Single-player
628830,Full controller support
628830,Steam Cloud
686440,Single-player
686440,Multi-player
686440,Shared/Split Screen
686440,Full controller support
686440,Remote Play Together
521710,Single-player
521710,Steam Cloud
1259660,Single-player
614150,Single-player
614150,Steam Achievements
614150,Stats
614150,Steam Leaderboards
304970,Single-player
1630940,Single-player
1630940,Multi-player
1630940,PvP
1630940,Online PvP
1630940,Co-op
1630940,Online Co-op
1630940,Steam Achievements
878520,Single-player
878520,Steam Achievements
340630,Single-player
340630,Steam Achievements
340630,Partial Controller Support
704310,Single-player
704310,Steam Achievements
704310,Steam Leaderboards
619150,Single-player
619150,Steam Achievements
619150,Steam Trading Cards
619150,Steam Cloud
1373890,Multi-player
1373890,PvP
1373890,Shared/Split Screen PvP
1373890,Shared/Split Screen
1373890,Steam Achievements
1373890,Full controller support
1373890,Stats
1373890,Remote Play Together
1869200,Single-player
392030,Single-player
392030,Steam Achievements
392030,Full controller support
392030,Steam Trading Cards
392030,Steam Cloud
605850,Single-player
605850,Partial Controller Support
441670,Single-player
441670,Steam Achievements
441670,Full controller support
441670,Steam Trading Cards
962150,Single-player
962150,Multi-player
962150,PvP
962150,Shared/Split Screen PvP
962150,Co-op
962150,Shared/Split Screen Co-op
962150,Steam Achievements
962150,Full controller support
962150,Steam Cloud
962150,Remote Play Together
648510,Single-player
648510,Captions available
648510,Steam Cloud
1071070,Single-player
1761740,Single-player
538700,Single-player
538700,Steam Trading Cards
1564150,Single-player
1564150,Steam Achievements
1564150,Full controller support
726870,Single-player
1074390,Single-player
1074390,Steam Achievements
1074390,Full controller support
1554780,Single-player
1554780,Steam Achievements
1065750,Single-player
714780,Single-player
1321040,Single-player
1321040,Steam Achievements
1321040,Partial Controller Support
1321040,Steam Cloud
1204930,Single-player
1588760,Single-player
1588760,Steam Achievements
1588760,Full controller support
1588760,Steam Cloud
1588760,Steam Leaderboards
924740,Single-player
924740,Multi-player
924740,PvP
924740,Online PvP
924740,LAN PvP
924740,Co-op
924740,Online Co-op
924740,LAN Co-op
924740,Steam Achievements
924740,Steam Cloud
416340,Single-player
242610,Single-player
242610,Multi-player
242610,Online PvP
242610,Steam Achievements
242610,Partial Controller Support
242610,Stats
242610,Steam Leaderboards
1168980,Single-player
1277340,Single-player
1233610,Single-player
1233610,Multi-player
1233610,PvP
1233610,Online PvP
1233610,Partial Controller Support
1233610,Steam Cloud
302610,Single-player
302610,Steam Achievements
302610,Full controller support
302610,Steam Trading Cards
302610,Steam Leaderboards
1484150,Single-player
922520,Single-player
922520,Full controller support
1157200,Single-player
1157200,Steam Achievements
1157200,Steam Cloud
1862100,Single-player
1862100,Steam Achievements
2022020,Single-player
2022020,Steam Achievements
2022020,Steam Leaderboards
1099400,Includes level editor
503060,Single-player
1275970,Single-player
1275970,Multi-player
1275970,Co-op
1275970,Shared/Split Screen Co-op
1275970,Shared/Split Screen
1275970,Remote Play Together
847490,Single-player
847490,Steam Achievements
847490,Full controller support
847490,Steam Leaderboards
837610,Single-player
837610,Steam Achievements
837610,Full controller support
837610,Steam Trading Cards
837610,Steam Cloud
1029870,Single-player
1029870,Steam Achievements
632240,Single-player
632240,Steam Leaderboards
898910,Single-player
898910,Multi-player
898910,PvP
898910,Online PvP
898910,Cross-Platform Multiplayer
898910,Steam Achievements
898910,Partial Controller Support
898910,Includes level editor
1042930,Single-player
1042930,Multi-player
1042930,PvP
1042930,Online PvP
1042930,Steam Achievements
1042930,Full controller support
1042930,Steam Workshop
1042930,Steam Cloud
1042930,Stats
1042930,Steam Leaderboards
539290,Single-player
539290,Multi-player
539290,PvP
539290,Shared/Split Screen PvP
539290,Shared/Split Screen
539290,Steam Achievements
539290,Full controller support
539290,Steam Trading Cards
539290,Steam Cloud
539290,Steam Leaderboards
539290,Remote Play on TV
539290,Remote Play Together
1603600,Single-player
1603600,Multi-player
1603600,PvP
1603600,Online PvP
1603600,Shared/Split Screen PvP
1603600,Shared/Split Screen
1603600,Remote Play Together
489100,Single-player
489100,Partial Controller Support
1310620,Single-player
740450,Single-player
1646090,Single-player
1646090,Full controller support
1646090,Steam Cloud
448670,Single-player
448670,Steam Leaderboards
542740,Single-player
687980,Single-player
687980,Partial Controller Support
612120,Single-player
1259000,Multi-player
1259000,MMO
1259000,Steam Achievements
1259000,In-App Purchases
1380060,Single-player
1380060,Full controller support
1380060,Steam Cloud
1380060,Steam Leaderboards
814560,Multi-player
814560,PvP
814560,Shared/Split Screen PvP
814560,Shared/Split Screen
814560,Steam Achievements
814560,Full controller support
814560,Remote Play on TV
814560,Remote Play Together
